Month,Employed
2001-01-01,11.328
2001-02-01,11.462
2001-03-01,11.645
2001-04-01,11.936
2001-05-01,12.297
2001-06-01,12.687
2001-07-01,12.757
2001-08-01,12.716
2001-09-01,12.273
2001-10-01,11.945
2001-11-01,11.702
2001-12-01,11.681
2002-01-01,11.385
2002-02-01,11.44
2002-03-01,11.622
2002-04-01,11.823
2002-05-01,12.148
2002-06-01,12.467
2002-07-01,12.536
2002-08-01,12.538
2002-09-01,12.198
2002-10-01,12.013
2002-11-01,11.837
2002-12-01,11.823
2003-01-01,11.568
2003-02-01,11.599
2003-03-01,11.769
2003-04-01,11.984
2003-05-01,12.302
2003-06-01,12.671
2003-07-01,12.776
2003-08-01,12.768
2003-09-01,12.391
2003-10-01,12.177
2003-11-01,12.026
2003-12-01,12.041
2004-01-01,11.76
2004-02-01,11.838
2004-03-01,12.077
2004-04-01,12.355
2004-05-01,12.691
2004-06-01,13.051
2004-07-01,13.128
2004-08-01,13.083
2004-09-01,12.729
2004-10-01,12.519
2004-11-01,12.348
2004-12-01,12.336
2005-01-01,12.064
2005-02-01,12.151
2005-03-01,12.365
2005-04-01,12.711
2005-05-01,13.01
2005-06-01,13.413
2005-07-01,13.514
2005-08-01,13.497
2005-09-01,13.041
2005-10-01,12.782
2005-11-01,12.629
2005-12-01,12.609
2006-01-01,12.339
2006-02-01,12.438
2006-03-01,12.674
2006-04-01,12.96
2006-05-01,13.268
2006-06-01,13.638
2006-07-01,13.79
2006-08-01,13.764
2006-09-01,13.322
2006-10-01,13.125
2006-11-01,12.994
2006-12-01,13.005
2007-01-01,12.703
2007-02-01,12.79
2007-03-01,12.987
2007-04-01,13.26
2007-05-01,13.63
2007-06-01,14.012
2007-07-01,14.092
2007-08-01,14.045
2007-09-01,13.637
2007-10-01,13.441
2007-11-01,13.278
2007-12-01,13.244
2008-01-01,12.905
2008-02-01,12.971
2008-03-01,13.156
2008-04-01,13.396
2008-05-01,13.709
2008-06-01,14.052
2008-07-01,14.129
2008-08-01,14.056
2008-09-01,13.563
2008-10-01,13.3
2008-11-01,13.04
2008-12-01,12.959
2009-01-01,12.607
2009-02-01,12.616
2009-03-01,12.748
2009-04-01,12.977
2009-05-01,13.337
2009-06-01,13.656
2009-07-01,13.746
2009-08-01,13.675
2009-09-01,13.245
2009-10-01,12.956
2009-11-01,12.735
2009-12-01,12.631
2010-01-01,12.315
2010-02-01,12.359
2010-03-01,12.578
2010-04-01,12.915
2010-05-01,13.243
2010-06-01,13.616
2010-07-01,13.72
2010-08-01,13.712
2010-09-01,13.351
2010-10-01,13.085
2010-11-01,12.872
2010-12-01,12.818
2011-01-01,12.477
2011-02-01,12.614
2011-03-01,12.881
2011-04-01,13.233
2011-05-01,13.535
2011-06-01,13.947
2011-07-01,14.032
2011-08-01,14.023
2011-09-01,13.629
2011-10-01,13.418
2011-11-01,13.249
2011-12-01,13.195
2012-01-01,12.904
2012-02-01,13.038
2012-03-01,13.334
2012-04-01,13.626
2012-05-01,13.959
2012-06-01,14.329
2012-07-01,14.411
2012-08-01,14.434
2012-09-01,14.055
2012-10-01,13.838
2012-11-01,13.646
2012-12-01,13.646
2013-01-01,13.324
2013-02-01,13.47
2013-03-01,13.74
2013-04-01,14.074
2013-05-01,14.459
2013-06-01,14.881
2013-07-01,14.978
2013-08-01,14.961
2013-09-01,14.518
2013-10-01,14.346
2013-11-01,14.174
2013-12-01,14.124
2014-01-01,13.815
2014-02-01,13.908
2014-03-01,14.181
2014-04-01,14.524
2014-05-01,14.935
2014-06-01,15.333
2014-07-01,15.407
2014-08-01,15.365
2014-09-01,14.948
2014-10-01,14.787
2014-11-01,14.587
2014-12-01,14.563
2015-01-01,14.234
2015-02-01,14.374
2015-03-01,14.599
2015-04-01,14.947
2015-05-01,15.365
2015-06-01,15.768
2015-07-01,15.878
2015-08-01,15.845
2015-09-01,15.441
2015-10-01,15.293
2015-11-01,15.103
2015-12-01,15.077
2016-01-01,14.747
2016-02-01,14.889
2016-03-01,15.143
2016-04-01,15.48
2016-05-01,15.845
2016-06-01,16.32
2016-07-01,16.421
2016-08-01,16.383
2016-09-01,15.93
2016-10-01,15.721
2016-11-01,15.55
2016-12-01,15.489
2017-01-01,15.124
2017-02-01,15.283
2017-03-01,15.524
2017-04-01,15.887
2017-05-01,16.285
2017-06-01,16.758
2017-07-01,16.886
2017-08-01,16.808
2017-09-01,16.226
2017-10-01,16.098
2017-11-01,15.875
2017-12-01,15.859
2018-01-01,15.437
2018-02-01,15.588
2018-03-01,15.818
2018-04-01,16.132
2018-05-01,16.552
2018-06-01,17.051
2018-07-01,17.164
2018-08-01,17.096
2018-09-01,16.546
2018-10-01,16.402
2018-11-01,16.182
2018-12-01,16.213
2019-01-01,15.88
2019-02-01,15.997
2019-03-01,16.26
2019-04-01,16.575
2019-05-01,16.961
2019-06-01,17.403
2019-07-01,17.463
2019-08-01,17.38
2019-09-01,16.872
