model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
CDC CovidHub Ensemble,2020-06-06,2020-06-13,1,5773.726,5065,5248.872,6379.734,4819.627,6901.637,4592.841,7219.749,4386.786,7564.238
CDC CovidHub Ensemble,2020-06-06,2020-06-20,2,5504.412,4149,4863.553,6215.612,4380.738,6882.833,4125.764,7283.32,3893.135,7693.32
CDC CovidHub Ensemble,2020-06-06,2020-06-27,3,5263.045,3865,4462.15,6140.285,3925.982,7004.987,3666.111,7504.317,3437.399,7957.273
CDC CovidHub Ensemble,2020-06-06,2020-07-04,4,5169.654,3684,4246.639,6276.596,3632.215,7304.974,3378.395,7926.817,3151.453,8526.878
CDC CovidHub Ensemble,2020-06-13,2020-06-20,1,4890.468,4149,4467.726,5382.494,4109.554,5814.741,3904.707,6054.048,3702.652,6302.482
CDC CovidHub Ensemble,2020-06-13,2020-06-27,2,4784.259,3865,4226.584,5410.217,3801.158,6048.369,3552.218,6355.891,3340.465,6665.632
CDC CovidHub Ensemble,2020-06-13,2020-07-04,3,4502.032,3684,3901.783,5320.581,3459.011,6110.041,3180.379,6559.469,2952.694,6958.686
CDC CovidHub Ensemble,2020-06-13,2020-07-11,4,4415.331,5295,3700.341,5355.751,3178.79,6331.509,2935.917,6918.065,2721.472,7473.865
CDC CovidHub Ensemble,2020-06-20,2020-07-18,4,3687.153,5566,2982.429,4547.934,2465.521,5478.399,2206.78,6120.719,2020.397,6736.221
CDC CovidHub Ensemble,2020-06-20,2020-07-11,3,3843.471,5295,3214.456,4551.283,2730.32,5266.693,2510.724,5786.144,2342.482,6163.428
CDC CovidHub Ensemble,2020-06-20,2020-07-04,2,3955.999,3684,3410.692,4549.136,2998.618,5117.008,2801.664,5427.165,2643.57,5759.855
CDC CovidHub Ensemble,2020-06-20,2020-06-27,1,3912.871,3865,3510.516,4372.663,3143.216,4836.243,2957.335,5086.355,2809.02,5258.269
CDC CovidHub Ensemble,2020-06-27,2020-07-25,4,5278.809,6463,4036.837,6688.025,3326.342,8109.266,3036.777,8910.981,2848.54,9704.945
CDC CovidHub Ensemble,2020-06-27,2020-07-18,3,5033.458,5566,3990.197,6005.437,3358.023,6944.782,3032.528,7491.937,2799.984,8124.26
CDC CovidHub Ensemble,2020-06-27,2020-07-11,2,4834.059,5295,4024.557,5505.062,3480.524,6170.491,3220.824,6550.096,3028.896,6928.802
CDC CovidHub Ensemble,2020-06-27,2020-07-04,1,4435.085,3684,3856.736,4953.598,3456.243,5402.404,3232.894,5682.153,3055.086,5914.081
CDC CovidHub Ensemble,2020-07-04,2020-08-01,4,4320.884,7893,3449.451,5341.429,2772.741,6393.307,2438.354,7069.437,2185.045,7672.547
CDC CovidHub Ensemble,2020-07-04,2020-07-25,3,4203.101,6463,3449.119,5057.65,2805.493,5899.188,2534.755,6473.034,2285.967,7025.632
CDC CovidHub Ensemble,2020-07-04,2020-07-18,2,4154.757,5566,3480.199,4839.799,2957.774,5530.187,2682.319,5951.952,2466.247,6417.037
CDC CovidHub Ensemble,2020-07-04,2020-07-11,1,3804.13,5295,3316.315,4362.924,2967.169,4906.219,2789.216,5254.704,2631.409,5537.484
CDC CovidHub Ensemble,2020-07-11,2020-08-08,4,5978.787,7266,4907.231,7313.576,4139.571,8748.038,3707.203,9743.418,3404.001,10685.73
CDC CovidHub Ensemble,2020-07-11,2020-08-01,3,5634.218,7893,4801.992,6626.292,4125.286,7649.714,3753.11,8312.72,3451.575,8903.761
CDC CovidHub Ensemble,2020-07-11,2020-07-25,2,5325.785,6463,4689.996,6034.11,4179.779,6740.569,3840.405,7227.942,3537.074,7560.406
CDC CovidHub Ensemble,2020-07-11,2020-07-18,1,4879.021,5566,4450.962,5379.842,4075.837,5855.621,3794.019,6179.385,3589.262,6396.402
CDC CovidHub Ensemble,2020-07-18,2020-07-25,1,5513.0,6463,5099.0,5929.0,4762.0,6343.0,4539.0,6618.0,4380.0,6899.0
CDC CovidHub Ensemble,2020-07-18,2020-08-01,2,6007.0,7893,5403.0,6610.0,4877.0,7275.0,4609.0,7715.0,4398.0,8110.0
CDC CovidHub Ensemble,2020-07-18,2020-08-08,3,6238.0,7266,5515.0,7033.0,4873.0,7988.0,4563.0,8553.0,4286.0,9091.0
CDC CovidHub Ensemble,2020-07-18,2020-08-15,4,6419.0,7067,5577.0,7384.0,4839.0,8623.0,4456.0,9456.0,4176.0,10451.0
CDC CovidHub Ensemble,2020-07-25,2020-08-01,1,6909.0,7893,6301.0,7372.0,5838.0,7843.0,5656.0,8236.0,5371.0,8572.0
CDC CovidHub Ensemble,2020-07-25,2020-08-08,2,7251.0,7266,6602.0,8094.0,5954.0,8744.0,5555.0,9250.0,5219.0,9693.0
CDC CovidHub Ensemble,2020-07-25,2020-08-15,3,7506.0,7067,6659.0,8154.0,5764.0,8997.0,5387.0,9725.0,5053.0,10416.0
CDC CovidHub Ensemble,2020-07-25,2020-08-22,4,7198.0,6155,6421.0,7889.0,5410.0,9140.0,5014.0,10259.0,4661.0,11198.0
CDC CovidHub Ensemble,2020-08-01,2020-08-08,1,7356.0,7266,6960.0,7877.0,6230.0,8943.0,5976.0,9425.0,5755.0,9721.0
CDC CovidHub Ensemble,2020-08-01,2020-08-15,2,7141.0,7067,6407.0,8145.0,5823.0,8499.0,5425.0,9224.0,5325.0,9921.0
CDC CovidHub Ensemble,2020-08-01,2020-08-22,3,6958.0,6155,6290.0,7894.0,5424.0,9113.0,5022.0,9911.0,4837.0,10530.0
CDC CovidHub Ensemble,2020-08-01,2020-08-29,4,6588.0,6290,5851.0,7411.0,5141.0,8794.0,4805.0,9835.0,4560.0,10587.0
CDC CovidHub Ensemble,2020-08-08,2020-08-15,1,7288.0,7067,6565.0,8008.0,5963.0,8480.0,5690.0,8896.0,5408.0,9212.0
CDC CovidHub Ensemble,2020-08-08,2020-08-22,2,7081.0,6155,6139.0,8266.0,5494.0,9043.0,5282.0,9713.0,5168.0,10298.0
CDC CovidHub Ensemble,2020-08-08,2020-08-29,3,6898.0,6290,5903.0,8230.0,5077.0,9276.0,4850.0,9789.0,4708.0,10084.0
CDC CovidHub Ensemble,2020-08-08,2020-09-05,4,6876.0,5822,5933.0,7881.0,4696.0,9606.0,4469.0,10328.0,4236.0,10604.0
CDC CovidHub Ensemble,2020-08-15,2020-08-22,1,6650.0,6155,6323.0,7103.0,5716.0,7805.0,5473.0,8464.0,5344.0,8818.0
CDC CovidHub Ensemble,2020-08-15,2020-08-29,2,6638.0,6290,5757.0,7445.0,5189.0,8165.0,4878.0,8774.0,4525.0,9268.0
CDC CovidHub Ensemble,2020-08-15,2020-09-05,3,6046.0,5822,5275.0,7100.0,4580.0,8134.0,4332.0,8818.0,4140.0,9344.0
CDC CovidHub Ensemble,2020-08-15,2020-09-12,4,5575.0,5119,5027.0,6544.0,4347.0,8041.0,3919.0,8540.0,3697.0,9611.0
CDC CovidHub Ensemble,2020-08-22,2020-08-29,1,6361.0,6290,5874.0,6900.0,5443.0,7418.0,5095.0,7668.0,4801.0,7928.0
CDC CovidHub Ensemble,2020-08-22,2020-09-05,2,5979.0,5822,5343.0,6896.0,4983.0,7615.0,4775.0,7898.0,4624.0,8327.0
CDC CovidHub Ensemble,2020-08-22,2020-09-12,3,5916.0,5119,5037.0,6945.0,4798.0,7523.0,4546.0,8114.0,4540.0,8532.0
CDC CovidHub Ensemble,2020-08-22,2020-09-19,4,5945.0,5394,4836.0,7097.0,4427.0,7733.0,4085.0,8281.0,3997.0,8396.0
CDC CovidHub Ensemble,2020-08-29,2020-09-05,1,5994.0,5822,5265.0,6494.0,4796.0,6829.0,4613.0,6952.0,4456.0,7181.0
CDC CovidHub Ensemble,2020-08-29,2020-09-12,2,5669.0,5119,5030.0,6506.0,4481.0,6832.0,4323.0,7108.0,4199.0,7564.0
CDC CovidHub Ensemble,2020-08-29,2020-09-19,3,5574.0,5394,4675.0,6399.0,4138.0,6898.0,3947.0,7177.0,3683.0,7399.0
CDC CovidHub Ensemble,2020-08-29,2020-09-26,4,5294.0,5314,4376.0,6373.0,3896.0,6979.0,3577.0,7222.0,3331.0,7453.0
CDC CovidHub Ensemble,2020-09-05,2020-09-12,1,5608.0,5119,5003.0,6002.0,4567.0,6609.0,4378.0,6899.0,4329.0,7064.0
CDC CovidHub Ensemble,2020-09-05,2020-09-19,2,5410.0,5394,4695.0,6179.0,4196.0,6780.0,4037.0,7216.0,3951.0,7366.0
CDC CovidHub Ensemble,2020-09-05,2020-09-26,3,5404.0,5314,4671.0,6303.0,4134.0,6998.0,3918.0,7434.0,3513.0,7570.0
CDC CovidHub Ensemble,2020-09-05,2020-10-03,4,5309.0,4891,4433.0,6181.0,4104.0,7326.0,3582.0,7636.0,3337.0,8032.0
CDC CovidHub Ensemble,2020-09-12,2020-09-19,1,4970.0,5394,4517.0,5338.0,3940.0,5854.0,3871.0,6274.0,3676.0,6600.0
CDC CovidHub Ensemble,2020-09-12,2020-09-26,2,4716.0,5314,4111.0,5222.0,3606.0,5777.0,3401.0,6240.0,3335.0,6584.0
CDC CovidHub Ensemble,2020-09-12,2020-10-03,3,4696.0,4891,4003.0,5413.0,3470.0,5959.0,3147.0,6341.0,3023.0,6919.0
CDC CovidHub Ensemble,2020-09-12,2020-10-10,4,4550.0,5020,4019.0,5389.0,3393.0,5996.0,3316.0,6552.0,2986.0,7087.0
CDC CovidHub Ensemble,2020-09-19,2020-09-26,1,4961.0,5314,4353.0,5418.0,4038.0,5820.0,3881.0,6149.0,3715.0,6437.0
CDC CovidHub Ensemble,2020-09-19,2020-10-03,2,4944.0,4891,4453.0,5695.0,3953.0,6345.0,3824.0,6549.0,3685.0,6647.0
CDC CovidHub Ensemble,2020-09-19,2020-10-10,3,4972.0,5020,4192.0,5898.0,3926.0,6360.0,3733.0,6762.0,3536.0,7056.0
CDC CovidHub Ensemble,2020-09-19,2020-10-17,4,4980.0,5127,3927.0,5956.0,3644.0,6512.0,3465.0,6697.0,3352.0,7439.0
CDC CovidHub Ensemble,2020-09-26,2020-10-03,1,5128.0,4891,4623.0,5453.0,4179.0,5838.0,3977.0,6069.0,3736.0,6178.0
CDC CovidHub Ensemble,2020-09-26,2020-10-10,2,5058.0,5020,4389.0,5642.0,3982.0,6295.0,3715.0,6728.0,3497.0,6887.0
